latitude,longitude,date
42.402,-71.07,11/21/2002
36.842,-119.789,11/26/2002
38.35,-121.981,12/06/2002
41.458,-82.016,12/10/2002
20.55,-100.822,12/14/2002
37.009,-121.554,03/01/2003
40.234,-74.048,03/20/2003
34.742,135.444,04/17/2003
27.96,-82.728,05/15/2003
38.646,-121.111,05/23/2003
41.727,-88.206,07/01/2003
45.333,-122.766,07/24/2003
18.923,-99.235,09/01/2003
42.535,-83.445,09/25/2003
38.898,-77.445,10/09/2003
22.904,-109.882,10/18/2003
47.239,-122.375,11/12/2003
31.782,-106.411,11/13/2003
41.197,-111.979,11/18/2003
45.722,-73.508,11/19/2003
33.379,-86.811,11/20/2003
36.058,-79.884,11/21/2003
38.692,-121.297,12/13/2003
42.987,-81.294,02/19/2004
33.706,-78.916,03/18/2004
47.708,-116.782,04/22/2004
42.179,-88.338,07/08/2004
32.534,-117.03,07/17/2004
32.937,-117.036,07/23/2004
39.115,-77.533,07/28/2004
41.994,-72.576,07/29/2004
32.997,-96.964,08/25/2004
37.52,-120.888,08/26/2004
45.684,-122.604,08/27/2004
35.363,139.647,10/02/2004
42.083,-87.937,10/13/2004
44.862,-93.43,11/18/2004
19.55,-99.202,12/04/2004
41.561,-93.805,12/07/2004
42.504,-83.759,12/08/2004
42.913,-85.545,12/09/2004
25.002,121.492,01/28/2005
49.12,-122.655,02/24/2005
39.971,-74.912,03/03/2005
51.5,-2.696,06/02/2005
34.091,-84.277,06/04/2005
42.876,-85.763,06/16/2005
45.577,-73.406,06/17/2005
33.803,-118.039,07/14/2005
25.73,-100.393,07/28/2005
31.865,-116.593,08/18/2005
47.779,-122.149,08/26/2005
35.252,-120.689,09/17/2005
26.008,-80.361,10/14/2005
33.933,-117.97,10/26/2005
36.278,-115.209,10/27/2005
52.037,-0.6890000000000001,11/07/2005
19.165,-96.112,11/10/2005
33.67,-112.029,11/11/2005
45.302,-75.912,11/16/2005
45.536,-122.935,11/17/2005
40.89,-111.893,11/22/2005
33.295,-111.899,12/01/2005
53.547,-113.318,03/29/2006
51.157,-114.162,03/30/2006
35.296,-119.057,04/26/2006
34.062,-83.995,05/03/2006
33.298,-111.748,05/04/2006
33.695,-117.334,05/05/2006
30.222,-97.839,06/01/2006
31.758,-106.509,06/02/2006
53.384,-1.422,06/29/2006
47.06,-122.76,07/18/2006
34.247,-77.873,07/28/2006
32.621,-96.911,08/09/2006
43.614,-116.592,08/23/2006
40.39,-111.827,08/24/2006
39.579,-119.74,08/25/2006
48.148,-122.189,09/21/2006
21.968,-159.382,10/17/2006
39.643,-106.889,10/20/2006
35.818,-78.622,10/25/2006
38.315,-85.574,10/26/2006
45.092,-93.424,10/27/2006
49.278,-123.11,11/10/2006
36.139,-86.884,11/14/2006
33.881,-84.472,11/15/2006
19.264,-99.64,11/16/2006
34.139,-117.444,11/17/2006
45.632,-73.85,11/21/2006
33.707,-116.272,11/22/2006
46.617,-112.006,11/28/2006
40.148,-82.978,11/29/2006
41.601,-87.86,11/30/2006
53.188,-2.894,12/02/2006
39.993,-104.978,02/21/2007
40.404,-79.92,03/08/2007
43.851,-79.252,03/30/2007
26.489,-81.786,04/12/2007
26.681,-80.22,04/13/2007
38.645,-77.3,05/05/2007
33.699,-117.824,06/07/2007
35.522,139.732,07/12/2007
40.69,-111.954,08/03/2007
34.94,-81.998,08/15/2007
34.836,-82.313,08/16/2007
37.389,-121.883,08/23/2007
41.677,-83.628,08/29/2007
43.311,-87.925,08/30/2007
32.364,-86.151,10/04/2007
39.187,-76.795,10/05/2007
29.576,-98.317,10/17/2007
41.264,-96.102,10/18/2007
47.359,-122.601,11/02/2007
24.133,120.65,11/09/2007
45.371,-73.517,11/27/2007
43.902,-79.392,11/28/2007
49.82,-97.208,11/29/2007
50.07,-110.741,11/30/2007
35.196,-106.662,12/07/2007
37.641,126.788,01/24/2008
42.977,141.466,01/25/2008
38.893,-104.718,02/20/2008
38.673,-121.724,02/22/2008
20.642,-105.229,03/05/2008
35.811,139.379,04/04/2008
30.461,-84.213,04/09/2008
34.112,-117.829,05/16/2008
39.71,-74.287,05/29/2008
51.481,-3.181,07/31/2008
37.786,-121.256,08/14/2008
43.098,-89.523,08/20/2008
39.644,-105.006,08/21/2008
39.559,-104.776,08/22/2008
45.028,-93.041,08/28/2008
44.271,-78.343,10/02/2008
29.733,-95.439,10/22/2008
42.906,-112.455,10/23/2008
47.355,-122.121,10/25/2008
38.669,-76.876,11/12/2008
41.909,-88.34,11/14/2008
51.356,-0.11900000000000001,11/22/2008
36.172,-115.163,02/19/2009
33.85,-118.142,02/26/2009
21.328,-158.088,02/27/2009
33.919,-118.343,03/20/2009
32.908,-96.446,04/08/2009
44.705,-63.565,05/13/2009
35.862,139.864,07/07/2009
35.179,129.115,07/08/2009
24.794,121.013,07/09/2009
33.995,-118.143,07/23/2009
20.647,-103.405,08/14/2009
-37.811,144.938,08/17/2009
33.6,-111.983,09/18/2009
38.904,-104.817,10/29/2009
40.796,-73.933,11/12/2009
38.597,-90.505,11/17/2009
41.313,-81.817,11/18/2009
37.617,-122.088,11/24/2009
34.272,-118.428,03/04/2010
45.303,-66.027,05/27/2010
40.734,-73.864,07/08/2010
43.26,-123.351,08/12/2010
52.399,-1.561,08/20/2010
50.705,-113.948,08/26/2010
32.816,-117.154,09/15/2010
51.211,-113.984,10/21/2010
38.922,-76.851,10/26/2010
34.967,-85.193,10/27/2010
33.872,-84.335,10/28/2010
41.908,-87.835,11/17/2010
41.726,-88.033,11/18/2010
42.236,-87.904,11/20/2010
44.749,-93.293,11/23/2010
45.622,-122.473,11/24/2010
32.182,-110.947,04/14/2011
49.713,-124.962,06/02/2011
38.1,-121.266,06/09/2011
40.361,-74.304,07/06/2011
33.137,-117.124,07/08/2011
-33.835,151.021,07/21/2011
-35.297,149.191,07/22/2011
40.239,-75.576,08/17/2011
45.928,-66.662,08/19/2011
23.008,120.19,08/23/2011
22.656,120.303,08/24/2011
36.333,139.093,08/26/2011
40.197,-75.081,10/21/2011
33.171,-96.839,10/22/2011
43.09,-88.23,10/27/2011
33.524,-82.02,11/16/2011
34.841,135.715,12/09/2011
35.482,139.425,12/10/2011
34.67,135.057,02/25/2012
26.194,-98.199,03/15/2012
33.734,-117.996,05/02/2012
41.698,-91.615,06/27/2012
41.863,-87.666,06/28/2012
42.232,-83.741,06/29/2012
27.233,-82.498,08/17/2012
25.047,121.294,08/30/2012
35.566,129.357,08/31/2012
33.572,-84.333,09/04/2012
53.507,-113.689,10/19/2012
46.844,-96.887,10/23/2012
46.349,-94.249,10/24/2012
40.123,-111.649,10/25/2012
35.896,-84.141,11/09/2012
39.883,-75.53,11/10/2012
40.669,-89.584,11/14/2012
43.165,-89.275,11/15/2012
44.051,-92.521,11/16/2012
43.904,-78.855,11/28/2012
38.92,-76.95,11/29/2012
52.684,-1.1,12/01/2012
45.908,-72.517,12/11/2012
37.422,126.884,12/15/2012
33.888,130.721,03/22/2013
34.391,132.485,03/23/2013
28.696,-106.131,04/09/2013
39.036,-77.056,04/10/2013
50.916,-1.44,05/04/2013
29.586,-95.642,07/11/2013
51.284,-0.766,07/13/2013
36.094,140.08,07/25/2013
35.806,140.129,07/26/2013
38.742,-77.086,08/08/2013
23.49,120.432,08/28/2013
34.889,136.826,08/30/2013
29.967,-90.11,09/21/2013
25.524,-100.207,09/26/2013
43.512,-96.741,10/03/2013
40.052,-82.909,10/04/2013
41.125,-85.156,10/16/2013
44.458,-87.989,10/17/2013
38.025,-84.407,10/18/2013
53.666,-113.634,10/24/2013
40.612,-74.46,11/14/2013
33.563,-101.945,11/15/2013
-37.814,145.224,11/20/2013
-33.959,150.879,11/21/2013
30.528,-97.817,11/22/2013
41.845,-87.807,11/25/2013
43.614,-79.579,11/26/2013
29.784,-95.787,02/06/2014
36.399,140.534,04/10/2014
30.42,-91.073,04/25/2014
32.9,-97.321,05/09/2014
37.434,-5.972,05/15/2014
-27.211,152.995,05/29/2014
37.74,127.034,05/31/2014
36.849,127.11,05/31/2014
34.438,135.446,06/01/2014
40.925,-72.704,06/26/2014
40.436,-74.507,07/24/2014
43.523,-80.294,07/25/2014
51.496,-0.404,08/21/2014
40.56,-111.975,08/28/2014
34.212,-84.116,08/29/2014
40.52,-104.989,10/02/2014
43.057,-76.27,10/24/2014
25.649,-100.291,10/30/2014
