latitude,longitude,date
64.852,-147.708,11/20/18
45.55,-94.203,6/29/19
35.605,-97.53,5/16/19
42.321,-88.962,8/23/19
36.806,-119.701,11/19/90
33.4,-84.622,8/22/19
44.857,-93.129,11/15/19
27.496,-82.471,8/21/19
32.423,-90.147,3/12/20
41.359,-72.213,11/14/19
